sample	category	filename	relative_path	size_bytes	size_human	url
T2T_HG002	assembly	T2T_HG002.combined.fasta	assemblies/T2T_HG002/T2T_HG002.combined.fasta	6049838839	5.6GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T_HG002&files=T2T_HG002.combined.fasta
T2T_HG002	assembly	T2T_HG002.contig_pofo_assignment.tsv	assemblies/T2T_HG002/T2T_HG002.contig_pofo_assignment.tsv	65085	63.6KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T_HG002&files=T2T_HG002.contig_pofo_assignment.tsv
T2T_HG002	assembly	T2T_HG002.hap1.fasta	assemblies/T2T_HG002/T2T_HG002.hap1.fasta	3028743629	2.8GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T_HG002&files=T2T_HG002.hap1.fasta
T2T_HG002	assembly	T2T_HG002.hap2.fasta	assemblies/T2T_HG002/T2T_HG002.hap2.fasta	2946918470	2.7GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fassemblies%2FT2T_HG002&files=T2T_HG002.hap2.fasta
T2T00	3d_contacts	T2T00.combined.mcool	annotations/T2T00/3d_contacts/T2T00.combined.mcool	3302665504	3.1GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fannotations%2FT2T00%2F3d_contacts&files=T2T00.combined.mcool
T2T00	3d_contacts	T2T00.hp1.mcool	annotations/T2T00/3d_contacts/T2T00.hp1.mcool	1505989364	1.4GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fannotations%2FT2T00%2F3d_contacts&files=T2T00.hp1.mcool
T2T00	3d_contacts	T2T00.hp2.mcool	annotations/T2T00/3d_contacts/T2T00.hp2.mcool	1499594294	1.4GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fannotations%2FT2T00%2F3d_contacts&files=T2T00.hp2.mcool
T2T00	assembly_issues	T2T00.assembly_issues.lifted.gff3	annotations/T2T00/assembly_issues/T2T00.assembly_issues.lifted.gff3	1253266	1.2MB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fannotations%2FT2T00%2Fassembly_issues&files=T2T00.assembly_issues.lifted.gff3
T2T00	assembly_issues	T2T00.flagger.bed	annotations/T2T00/assembly_issues/T2T00.flagger.bed	485870	474.5KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fannotations%2FT2T00%2Fassembly_issues&files=T2T00.flagger.bed
T2T00	assembly_issues	T2T00.gaps.bed	annotations/T2T00/assembly_issues/T2T00.gaps.bed	3713	3.6KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fannotations%2FT2T00%2Fassembly_issues&files=T2T00.gaps.bed
T2T00	assembly_issues	T2T00.nucflag_misasm.bed	annotations/T2T00/assembly_issues/T2T00.nucflag_misasm.bed	133644	130.5KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fannotations%2FT2T00%2Fassembly_issues&files=T2T00.nucflag_misasm.bed
T2T00	assembly_issues	T2T00.nucflag_status.bed	annotations/T2T00/assembly_issues/T2T00.nucflag_status.bed	71981	70.3KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fannotations%2FT2T00%2Fassembly_issues&files=T2T00.nucflag_status.bed
T2T00	cenmap	T2T00.complete_cens.bed	annotations/T2T00/cenmap/T2T00.complete_cens.bed	4024	3.9KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fannotations%2FT2T00%2Fcenmap&files=T2T00.complete_cens.bed
T2T00	cenmap	T2T00.complete_correct_cens.bed	annotations/T2T00/cenmap/T2T00.complete_correct_cens.bed	3014	2.9KB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fannotations%2FT2T00%2Fcenmap&files=T2T00.complete_correct_cens.bed
T2T00	methylation	T2T00.hp1.methyl.bed	annotations/T2T00/methylation/T2T00.hp1.methyl.bed	5598603417	5.2GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fannotations%2FT2T00%2Fmethylation&files=T2T00.hp1.methyl.bed
T2T00	methylation	T2T00.hp2.methyl.bed	annotations/T2T00/methylation/T2T00.hp2.methyl.bed	5613297513	5.2GB	https://cloud.imgag.de/s/oiHyaeziGCYfD9r/download?path=%2Fannotations%2FT2T00%2Fmethylation&files=T2T00.hp2.methyl.bed
